店舗名,最寄り,評価,ランチ,ディナー,URL
江戸前晋作,本郷三丁目駅,3.89,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1310/A131004/13201105/
天ぷら 車,群馬,3.89,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/gunma/A1002/A100204/10014909/
旬彩天 つちや,江坂駅,3.89,"￥8,000～￥9,999","￥20,000～￥29,999",https://tabelog.com/osaka/A2706/A270602/27017728/
天ぷら　酒菜　醍醐,秋田駅,3.89,-,"￥10,000～￥14,999",https://tabelog.com/akita/A0501/A050101/5000837/
てんぷら 近藤,銀座駅,3.87,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13004993/
天ぷら 小泉,野町駅,3.84,"￥10,000～￥14,999","￥15,000～￥19,999",https://tabelog.com/ishikawa/A1701/A170101/17009514/
天ぷら 京星,祇園四条駅,3.83,-,"￥15,000～￥19,999",https://tabelog.com/kyoto/A2601/A260301/26006057/
天ぷら 蕎楽亭,若松河田駅,3.80,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1309/A130903/13171952/
てんぷら 下村,新御徒町駅,3.78,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1311/A131101/13213663/
鶴八,辛島町駅,3.78,-,"￥10,000～￥14,999",https://tabelog.com/kumamoto/A4301/A430101/43006179/
天ぷら小泉 たかの,オークスカナルパークホテル富山前駅,3.77,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/toyama/A1601/A160101/16006771/
天冨良 よこ田,麻布十番駅,3.77,"￥4,000～￥4,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130702/13001340/
好し智,浜松駅,3.76,-,"￥10,000～￥14,999",https://tabelog.com/shizuoka/A2202/A220201/22034426/
てんぷら前平,麻布十番駅,3.76,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130702/13212060/
旬恵庵 あら垣,新富町駅,3.75,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1313/A131301/13210026/
お座敷 天婦良 あやめ,東別院駅,3.75,-,"￥20,000～￥29,999",https://tabelog.com/aichi/A2301/A230105/23031296/
天麩羅　吉祥,中崎町駅,3.75,-,"￥20,000～￥29,999",https://tabelog.com/osaka/A2701/A270101/27085445/
